"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd","eta_setting","rep"
"beta3",3,2.94793446,0.311840785372809,2.3000015,3.5301315,-0.0520655400000001,0.0520655400000001,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta4",-4,-4.40710179,0.392422283001223,-5.17209775,-3.6331335,-0.40710179,0.40710179,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta5",-5,-5.99317644,0.449259033854219,-6.85703725,-5.1242165,-0.99317644,0.99317644,FALSE,"Naive (ADVI)",0.5,0.4,1
"beta6",0,-0.045352246919,0.237230974615409,-0.515040425,0.423553975,-0.045352246919,0.045352246919,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta7",0,0.4474098257,0.244842655922575,-0.0328793375,0.93039735,0.4474098257,0.4474098257,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta8",0,-0.176524355002,0.22729442457354,-0.6382231,0.2702406,-0.176524355002,0.176524355002,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta9",0,-0.280713406442,0.248932193372748,-0.78546815,0.1875774,-0.280713406442,0.280713406442,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta10",0,0.041441569239,0.247728103343125,-0.4805252,0.509128625,0.041441569239,0.041441569239,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta11",0,-0.065667219583,0.222356349093733,-0.495285625,0.33997265,-0.065667219583,0.065667219583,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta12",0,0.270395036901,0.23442291056728,-0.2065474,0.71334905,0.270395036901,0.270395036901,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta13",0,-0.168170127773,0.242507846964547,-0.6132556,0.321063,-0.168170127773,0.168170127773,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta14",0,0.2027240837799,0.223825916229028,-0.2359473,0.6363291,0.2027240837799,0.2027240837799,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta15",0,0.390600608002,0.264729982784398,-0.1174009,0.916899425,0.390600608002,0.390600608002,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta16",0,-0.1096586339111,0.244075141060306,-0.601689575,0.364512725,-0.1096586339111,0.1096586339111,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta17",0,0.367859045792,0.259408653193082,-0.1528098,0.866550375,0.367859045792,0.367859045792,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta18",0,-0.13940868893,0.215473585292641,-0.543035,0.2718191,-0.13940868893,0.13940868893,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta19",0,0.0393259698686,0.255147098332219,-0.445592675,0.52610325,0.0393259698686,0.0393259698686,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta20",0,-0.0995814764983,0.26633775581862,-0.622720875,0.413077675,-0.0995814764983,0.0995814764983,TRUE,"Naive (ADVI)",0.5,0.4,1
"beta1",1,0.7577870202,0.213209432599481,0.365107875,1.20638275,-0.2422129798,0.2422129798,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta2",2,1.93894825,0.255165576367975,1.43299425,2.4519565,-0.0610517500000001,0.0610517500000001,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta3",3,2.90794179,0.288030998077202,2.35290875,3.45305675,-0.0920582099999998,0.0920582099999998,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta4",-4,-4.22704063,0.366008735727895,-4.93545625,-3.521564,-0.22704063,0.22704063,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta5",-5,-5.13220434,0.428414141457966,-5.95630975,-4.23797825,-0.13220434,0.13220434,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta6",0,-0.061177866932,0.236659380732538,-0.54788625,0.379339075,-0.061177866932,0.061177866932,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta7",0,-0.18350778344,0.247821659373663,-0.674458775,0.291278025,-0.18350778344,0.18350778344,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta8",0,0.030037849734,0.229039857405196,-0.396821975,0.48326845,0.030037849734,0.030037849734,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta9",0,-0.2138365561731,0.238480794808177,-0.692734525,0.250969275,-0.2138365561731,0.2138365561731,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta10",0,0.266323989976,0.193313788680005,-0.10815675,0.667865625,0.266323989976,0.266323989976,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta11",0,0.121746834316,0.237266887479831,-0.337608325,0.576161075,0.121746834316,0.121746834316,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta12",0,0.1347948219688,0.256408893274614,-0.35972285,0.6573094,0.1347948219688,0.1347948219688,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta13",0,0.050867789484,0.235883560387006,-0.3951212,0.521227525,0.050867789484,0.050867789484,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta14",0,0.241917614458,0.236089742556622,-0.211146725,0.68540815,0.241917614458,0.241917614458,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta15",0,-0.0741253197337,0.236454379259005,-0.539722225,0.3895883,-0.0741253197337,0.0741253197337,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta16",0,0.26519680215,0.219974814657194,-0.15146295,0.71263405,0.26519680215,0.26519680215,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta17",0,-0.469019125592,0.256757575242341,-0.94330915,0.047353255,-0.469019125592,0.469019125592,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta18",0,-0.068003840268,0.238161618764092,-0.518649325,0.3837787,-0.068003840268,0.068003840268,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta19",0,-0.217207800215,0.224200491799639,-0.665869875,0.203499525,-0.217207800215,0.217207800215,TRUE,"Proposed (ADVI)",0.5,0.4,2
