"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd"
"beta4",-4,-4.24865569,0.273525382565186,-4.79372225,-3.72369275,-0.24865569,0.24865569,TRUE,"Naive",0.5
"beta5",-5,-4.69418552,0.314807787767343,-5.28603925,-4.06555525,0.30581448,0.30581448,TRUE,"Naive",0.5
"beta6",0,-0.209709596704,0.222622416804511,-0.65437215,0.228679325,-0.209709596704,0.209709596704,TRUE,"Naive",0.5
"beta7",0,-0.026101753915,0.243362031574741,-0.5094823,0.437602975,-0.026101753915,0.026101753915,TRUE,"Naive",0.5
"beta8",0,-0.084242520115,0.233978130528962,-0.541803525,0.381289625,-0.084242520115,0.084242520115,TRUE,"Naive",0.5
"beta9",0,0.285285252022,0.205670724256548,-0.114352725,0.677478575,0.285285252022,0.285285252022,TRUE,"Naive",0.5
"beta10",0,0.035948142095,0.229120468833984,-0.404074025,0.4886009,0.035948142095,0.035948142095,TRUE,"Naive",0.5
"beta11",0,0.215879888496,0.217543189823604,-0.17654275,0.64748635,0.215879888496,0.215879888496,TRUE,"Naive",0.5
"beta12",0,0.32896361671,0.226252071255948,-0.124954775,0.773119775,0.32896361671,0.32896361671,TRUE,"Naive",0.5
"beta13",0,0.1549003532893,0.215797431965882,-0.28088775,0.559521975,0.1549003532893,0.1549003532893,TRUE,"Naive",0.5
"beta14",0,0.112202926643,0.23745446055391,-0.350030175,0.5771786,0.112202926643,0.112202926643,TRUE,"Naive",0.5
"beta15",0,0.51240596474,0.206144563101582,0.0966138325,0.9160497,0.51240596474,0.51240596474,FALSE,"Naive",0.5
"beta16",0,-0.1902312069502,0.223227915421612,-0.642778025,0.25228585,-0.1902312069502,0.1902312069502,TRUE,"Naive",0.5
"beta17",0,0.23010722335,0.232394449010864,-0.222270975,0.680063675,0.23010722335,0.23010722335,TRUE,"Naive",0.5
"beta18",0,-0.008453328003,0.23475710253467,-0.46816505,0.459863875,-0.008453328003,0.008453328003,TRUE,"Naive",0.5
"beta19",0,-0.47249495238,0.23604760183024,-0.937637375,-0.0027545492500002,-0.47249495238,0.47249495238,FALSE,"Naive",0.5
"beta20",0,-0.27129950833,0.207543729489365,-0.665291,0.128699975,-0.27129950833,0.27129950833,TRUE,"Naive",0.5
"beta1",1,1.569783771,0.286742871039188,1.02570975,2.1705395,0.569783771,0.569783771,FALSE,"Proposed",0.5
"beta2",2,2.32012686,0.246185258914597,1.862126,2.78616625,0.32012686,0.32012686,TRUE,"Proposed",0.5
"beta3",3,3.54378883,0.274892837297971,3.04457925,4.09977725,0.54378883,0.54378883,FALSE,"Proposed",0.5
"beta4",-4,-5.09801204,0.256643225986745,-5.59963825,-4.60325225,-1.09801204,1.09801204,FALSE,"Proposed",0.5
"beta5",-5,-6.20271835,0.289457332842189,-6.76639925,-5.636103,-1.20271835,1.20271835,FALSE,"Proposed",0.5
"beta6",0,-0.3865453318,0.238409285655422,-0.86591245,0.0731954899999997,-0.3865453318,0.3865453318,TRUE,"Proposed",0.5
"beta7",0,0.131988399044,0.254544193356728,-0.3454815,0.6351553,0.131988399044,0.131988399044,TRUE,"Proposed",0.5
