"method","eta_setting","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Naive Method (ADVI)",0.4,8,"beta14",0,1.144480739276,0.70290507950107,-0.238807725,2.535891,1.144480739276,1.144480739276,TRUE
"Naive Method (ADVI)",0.4,8,"beta15",0,0.97214815706,0.578628294446063,-0.120113025,2.0755145,0.97214815706,0.97214815706,TRUE
"Naive Method (ADVI)",0.4,8,"beta16",0,0.51008106962,0.42512885450347,-0.32548735,1.32365925,0.51008106962,0.51008106962,TRUE
"Naive Method (ADVI)",0.4,8,"beta17",0,0.94155098427,0.663538280180628,-0.407745625,2.24078825,0.94155098427,0.94155098427,TRUE
"Naive Method (ADVI)",0.4,8,"beta18",0,-0.2940667004943,0.399606289682218,-1.04539025,0.444857725,-0.2940667004943,0.2940667004943,TRUE
"Naive Method (ADVI)",0.4,8,"beta19",0,0.792243804114,0.628692572225423,-0.32414475,2.05225275,0.792243804114,0.792243804114,TRUE
"Naive Method (ADVI)",0.4,8,"beta20",0,0.73882204745,0.532468322196464,-0.29892165,1.81291225,0.73882204745,0.73882204745,TRUE
"Proposed Method (ADVI)",0.4,8,"beta1",1,1.325437861,0.179977431808185,0.99396395,1.70412125,0.325437861,0.325437861,TRUE
"Proposed Method (ADVI)",0.4,8,"beta2",2,2.52691496,0.251895797284687,2.0229175,3.0117645,0.52691496,0.52691496,FALSE
"Proposed Method (ADVI)",0.4,8,"beta3",3,3.64539039,0.33609166031528,2.979127,4.356272,0.64539039,0.64539039,TRUE
"Proposed Method (ADVI)",0.4,8,"beta4",-4,-4.36723335,0.40682130004001,-5.17927325,-3.5476555,-0.36723335,0.36723335,TRUE
"Proposed Method (ADVI)",0.4,8,"beta5",-5,-5.45532094,0.494141832846487,-6.37284925,-4.47396725,-0.45532094,0.45532094,TRUE
"Proposed Method (ADVI)",0.4,8,"beta6",0,-0.3976658831,0.156493316985193,-0.715219575,-0.1057646,-0.3976658831,0.3976658831,FALSE
"Proposed Method (ADVI)",0.4,8,"beta7",0,-0.116492994302,0.177757752422595,-0.462095425,0.2251956,-0.116492994302,0.116492994302,TRUE
"Proposed Method (ADVI)",0.4,8,"beta8",0,-0.16356768569,0.158502616666635,-0.469506825,0.150704,-0.16356768569,0.16356768569,TRUE
"Proposed Method (ADVI)",0.4,8,"beta9",0,-0.0979310723187,0.177686271919798,-0.45009595,0.243112475,-0.0979310723187,0.0979310723187,TRUE
"Proposed Method (ADVI)",0.4,8,"beta10",0,-0.242589593723,0.145833840621114,-0.536740225,0.0448143199999999,-0.242589593723,0.242589593723,TRUE
"Proposed Method (ADVI)",0.4,8,"beta11",0,0.0879850396042,0.149506788441086,-0.2006838,0.3840683,0.0879850396042,0.0879850396042,TRUE
"Proposed Method (ADVI)",0.4,8,"beta12",0,-0.294403375605,0.178620504748762,-0.653442075,0.0644027975,-0.294403375605,0.294403375605,TRUE
"Proposed Method (ADVI)",0.4,8,"beta13",0,-0.278816911819,0.171221628010807,-0.599296675,0.0663165875,-0.278816911819,0.278816911819,TRUE
"Proposed Method (ADVI)",0.4,8,"beta14",0,0.289545438081,0.170931107874237,-0.043298095,0.623440725,0.289545438081,0.289545438081,TRUE
"Proposed Method (ADVI)",0.4,8,"beta15",0,0.328660095682,0.163132033396072,0.0232957525,0.652493525,0.328660095682,0.328660095682,FALSE
"Proposed Method (ADVI)",0.4,8,"beta16",0,0.0814960938762,0.148499854005405,-0.1971203,0.3684498,0.0814960938762,0.0814960938762,TRUE
"Proposed Method (ADVI)",0.4,8,"beta17",0,-0.39922971654,0.171407949651432,-0.722316225,-0.04987965,-0.39922971654,0.39922971654,FALSE
"Proposed Method (ADVI)",0.4,8,"beta18",0,-0.3061697022157,0.160178415776456,-0.6207577,0.0168979799999999,-0.3061697022157,0.3061697022157,TRUE
"Proposed Method (ADVI)",0.4,8,"beta19",0,0.0683578989088,0.168096058643799,-0.2674994,0.38723835,0.0683578989088,0.0683578989088,TRUE
"Proposed Method (ADVI)",0.4,8,"beta20",0,0.29513168849,0.151284258565015,0.00242869175,0.58623245,0.29513168849,0.29513168849,FALSE
"Proposed Method (ADVI)",0.4,8,"eta",0.4,0.24413409795,0.23823793470424,0.03170793,0.837402725,-0.15586590205,0.15586590205,TRUE
"Naive Method (ADVI)",0.4,9,"beta1",1,1.335192006,0.21469486954701,0.9118296,1.749724,0.335192006,0.335192006,TRUE
"Naive Method (ADVI)",0.4,9,"beta2",2,2.15944438,0.267802959918961,1.63241925,2.6794475,0.15944438,0.15944438,TRUE
"Naive Method (ADVI)",0.4,9,"beta3",3,3.2805151,0.308410444551897,2.65212375,3.89195,0.2805151,0.2805151,TRUE
"Naive Method (ADVI)",0.4,9,"beta4",-4,-4.40850878,0.412976223951041,-5.2361975,-3.6338935,-0.40850878,0.40850878,TRUE
"Naive Method (ADVI)",0.4,9,"beta5",-5,-5.37116495,0.442985283269988,-6.245703,-4.5381225,-0.37116495,0.37116495,TRUE
"Naive Method (ADVI)",0.4,9,"beta6",0,-0.03651966719,0.167529663337166,-0.371869025,0.288419025,-0.03651966719,0.03651966719,TRUE
"Naive Method (ADVI)",0.4,9,"beta7",0,0.10852954678099,0.187292704252088,-0.242035425,0.4733394,0.10852954678099,0.10852954678099,TRUE
"Naive Method (ADVI)",0.4,9,"beta8",0,-0.22528805205,0.150458312875568,-0.5236721,0.0706842825,-0.22528805205,0.22528805205,TRUE
