"eta_true","mode","fixed_X","rep","eta_hat","abs_bias","disease_rate"
0.4,"parallel2000",TRUE,29,0.609663290210071,0.209663290210071,0.497777777777778
0.4,"parallel2000",TRUE,30,0.936220011964163,0.536220011964163,0.514444444444444
0.4,"parallel2000",TRUE,31,0.272371248741005,0.127628751258995,0.498888888888889
0.4,"parallel2000",TRUE,32,0.057585792467747,0.342414207532253,0.491111111111111
0.4,"parallel2000",TRUE,33,0.0184199524291836,0.381580047570816,0.49
0.4,"parallel2000",TRUE,34,0.859357842518271,0.459357842518271,0.514444444444444
0.4,"parallel2000",TRUE,35,0.0383242808023473,0.361675719197653,0.495555555555556
0.4,"parallel2000",TRUE,36,0.523297791712848,0.123297791712848,0.504444444444444
0.4,"parallel2000",TRUE,37,0.278563152959342,0.121436847040658,0.501111111111111
0.4,"parallel2000",TRUE,38,0.601991301595099,0.201991301595099,0.492222222222222
0.4,"parallel2000",TRUE,39,0.544385433548923,0.144385433548923,0.494444444444444
0.4,"parallel2000",TRUE,40,0.151710254114928,0.248289745885073,0.493333333333333
0.4,"parallel2000",TRUE,41,0.655066544377582,0.255066544377582,0.513333333333333
0.4,"parallel2000",TRUE,42,0.175887750546271,0.224112249453729,0.496666666666667
0.4,"parallel2000",TRUE,43,0.337548179359941,0.0624518206400587,0.495555555555556
0.4,"parallel2000",TRUE,44,0.842329564337476,0.442329564337476,0.504444444444444
0.4,"parallel2000",TRUE,45,0.547157604529569,0.147157604529569,0.495555555555556
0.4,"parallel2000",TRUE,46,0.314871427137679,0.0851285728623211,0.506666666666667
0.4,"parallel2000",TRUE,47,0.47242861942229,0.0724286194222896,0.503333333333333
0.4,"parallel2000",TRUE,48,0.859204052873734,0.459204052873734,0.512222222222222
0.4,"parallel2000",TRUE,49,0.340712124013178,0.059287875986822,0.5
0.4,"parallel2000",TRUE,50,0.321348507871197,0.0786514921288027,0.492222222222222
0.4,"init_plogis_parallel2000",FALSE,1,0.404736763687268,0.00473676368726783,0.513333333333333
0.4,"init_plogis_parallel2000",FALSE,2,0.0360036077867416,0.363996392213258,0.494444444444444
0.4,"init_plogis_parallel2000",FALSE,3,0.71133696468542,0.31133696468542,0.502222222222222
0.4,"init_plogis_parallel2000",FALSE,4,0.42390457466898,0.0239045746689795,0.515555555555556
0.4,"init_plogis_parallel2000",FALSE,5,0.355340433154164,0.044659566845836,0.516666666666667
0.4,"init_plogis_parallel2000",FALSE,6,0.373322348726487,0.0266776512735134,0.515555555555556
0.4,"init_plogis_parallel2000",FALSE,7,-0.265055930300047,0.665055930300047,0.501111111111111
0.4,"init_plogis_parallel2000",FALSE,8,0.440478021326669,0.0404780213266694,0.492222222222222
0.4,"init_plogis_parallel2000",FALSE,9,0.540148732360212,0.140148732360212,0.5
0.4,"init_plogis_parallel2000",FALSE,10,0.517944103066118,0.117944103066118,0.49
0.4,"init_plogis_parallel2000",FALSE,11,0.538786226520737,0.138786226520737,0.513333333333333
0.4,"init_plogis_parallel2000",FALSE,12,0.141948286751625,0.258051713248375,0.495555555555556
0.4,"init_plogis_parallel2000",FALSE,13,0.28664386624118,0.11335613375882,0.536666666666667
0.4,"init_plogis_parallel2000",FALSE,14,0.570734241910005,0.170734241910005,0.542222222222222
0.4,"init_plogis_parallel2000",FALSE,15,0.527046271097241,0.127046271097241,0.492222222222222
0.4,"init_plogis_parallel2000",FALSE,16,0.194606452312763,0.205393547687237,0.502222222222222
0.4,"init_plogis_parallel2000",FALSE,17,0.259963936894671,0.140036063105329,0.516666666666667
0.4,"init_plogis_parallel2000",FALSE,18,1.20484917980416,0.804849179804159,0.502222222222222
0.4,"init_plogis_parallel2000",FALSE,19,0.640538501616953,0.240538501616953,0.522222222222222
0.4,"init_plogis_parallel2000",FALSE,20,0.108511142049414,0.291488857950586,0.498888888888889
0.4,"init_plogis_parallel2000",FALSE,21,0.260133570900391,0.139866429099609,0.492222222222222
0.4,"init_plogis_parallel2000",FALSE,22,0.597405427478376,0.197405427478376,0.527777777777778
0.4,"init_plogis_parallel2000",FALSE,23,1.19173932738051,0.791739327380505,0.536666666666667
0.4,"init_plogis_parallel2000",FALSE,24,-0.0645373268303146,0.464537326830315,0.47
0.4,"init_plogis_parallel2000",FALSE,25,-0.0830806410490375,0.483080641049038,0.5
0.4,"init_plogis_parallel2000",FALSE,26,0.273599534830163,0.126400465169837,0.495555555555556
0.4,"init_plogis_parallel2000",FALSE,27,-0.0488999773126085,0.448899977312609,0.487777777777778
0.4,"init_plogis_parallel2000",FALSE,28,0.864685816039077,0.464685816039077,0.487777777777778
0.4,"init_plogis_parallel2000",FALSE,29,0.660316263266666,0.260316263266666,0.52
0.4,"init_plogis_parallel2000",FALSE,30,0.669154065701439,0.269154065701439,0.495555555555556
