"eta_true","rep","model","intercept","eta_hat","abs_bias","disease_rate"
0.4,103,"with_intercept",0.0704850074938819,0.523420946135472,0.123420946135472,0.486666666666667
0.4,104,"no_intercept",NA,0.394401261797737,0.00559873820226298,0.52
0.4,104,"with_intercept",0.52932139555572,-0.423077813314165,0.823077813314165,0.52
0.4,105,"no_intercept",NA,0.710797234710716,0.310797234710716,0.545555555555556
0.4,105,"with_intercept",-0.292960129918966,1.15913353783482,0.759133537834816,0.545555555555556
0.4,106,"no_intercept",NA,1.21325574938148,0.813255749381475,0.514444444444444
0.4,106,"with_intercept",-0.647435148232823,2.22887759944869,1.82887759944869,0.514444444444444
0.4,107,"no_intercept",NA,0.825906022191275,0.425906022191275,0.522222222222222
0.4,107,"with_intercept",-0.199288735954873,1.1435148925269,0.743514892526895,0.522222222222222
0.4,108,"no_intercept",NA,0.497513437566544,0.0975134375665443,0.524444444444444
0.4,108,"with_intercept",-0.00883915776020958,0.511069707397289,0.111069707397289,0.524444444444444
0.4,109,"no_intercept",NA,-0.0278389743347552,0.427838974334755,0.508888888888889
0.4,109,"with_intercept",0.184555220689293,-0.317315761978994,0.717315761978994,0.508888888888889
0.4,110,"no_intercept",NA,0.316743297863138,0.083256702136862,0.504444444444444
0.4,110,"with_intercept",0.129170207313718,0.118780471597006,0.281219528402994,0.504444444444444
0.4,111,"no_intercept",NA,0.188670830208696,0.211329169791304,0.512222222222222
0.4,111,"with_intercept",0.402664355058795,-0.446768059453011,0.846768059453011,0.512222222222222
0.4,112,"no_intercept",NA,-0.25050532759206,0.65050532759206,0.494444444444444
0.4,112,"with_intercept",0.18246427449587,-0.561980392443703,0.961980392443703,0.494444444444444
0.4,113,"no_intercept",NA,-0.17286973732823,0.57286973732823,0.498888888888889
0.4,113,"with_intercept",0.483122377889999,-0.941849440504006,1.34184944050401,0.498888888888889
0.4,114,"no_intercept",NA,-0.199939495993558,0.599939495993558,0.501111111111111
0.4,114,"with_intercept",0.125883832469355,-0.395568407547303,0.795568407547303,0.501111111111111
0.4,115,"no_intercept",NA,0.320615158635173,0.0793848413648268,0.525555555555556
0.4,115,"with_intercept",0.770792281505562,-0.820426749595772,1.22042674959577,0.525555555555556
0.4,116,"no_intercept",NA,0.689699286815638,0.289699286815638,0.511111111111111
0.4,116,"with_intercept",0.0653578416243176,0.587928158157421,0.187928158157421,0.511111111111111
0.4,117,"no_intercept",NA,0.159599531776039,0.240400468223961,0.503333333333333
0.4,117,"with_intercept",-0.36509319205566,0.739777787410907,0.339777787410907,0.503333333333333
0.4,118,"no_intercept",NA,0.344024052092896,0.0559759479071045,0.507777777777778
0.4,118,"with_intercept",-0.281674542104514,0.784262326053284,0.384262326053284,0.507777777777778
0.4,119,"no_intercept",NA,0.883815180626958,0.483815180626958,0.531111111111111
0.4,119,"with_intercept",-0.34570015595219,1.419334739732,1.019334739732,0.531111111111111
0.4,120,"no_intercept",NA,-0.0128676988599164,0.412867698859916,0.497777777777778
0.4,120,"with_intercept",-0.356452541893445,0.574077350861992,0.174077350861992,0.497777777777778
0.4,121,"no_intercept",NA,0.347456994304821,0.0525430056951789,0.492222222222222
0.4,121,"with_intercept",0.199924658406227,0.0271495739787605,0.37285042602124,0.492222222222222
0.4,122,"no_intercept",NA,0.171733589415257,0.228266410584743,0.493333333333333
0.4,122,"with_intercept",0.218021371249726,-0.17719040028688,0.57719040028688,0.493333333333333
0.4,123,"no_intercept",NA,0.499942797493361,0.0999427974933613,0.534444444444444
0.4,123,"with_intercept",0.58975941838213,-0.40718289517284,0.80718289517284,0.534444444444444
0.4,124,"no_intercept",NA,0.217566189301579,0.182433810698421,0.506666666666667
0.4,124,"with_intercept",-0.214538841962521,0.560458164479752,0.160458164479752,0.506666666666667
0.4,125,"no_intercept",NA,0.277573467566182,0.122426532433818,0.513333333333333
0.4,125,"with_intercept",-0.252879939613447,0.683486919170318,0.283486919170318,0.513333333333333
0.4,126,"no_intercept",NA,0.18851445774659,0.21148554225341,0.501111111111111
0.4,126,"with_intercept",0.290998892223715,-0.273269050764505,0.673269050764505,0.501111111111111
0.4,127,"no_intercept",NA,0.688703216111536,0.288703216111536,0.503333333333333
0.4,127,"with_intercept",-0.258065143037505,1.11681280847795,0.71681280847795,0.503333333333333
0.4,128,"no_intercept",NA,0.371234804164322,0.0287651958356778,0.497777777777778
0.4,128,"with_intercept",0.496913978271576,-0.450164517265582,0.850164517265582,0.497777777777778
0.4,129,"no_intercept",NA,0.14131081476651,0.25868918523349,0.515555555555556
0.4,129,"with_intercept",0.618239490520137,-0.797987292339078,1.19798729233908,0.515555555555556
0.4,130,"no_intercept",NA,0.697256537719174,0.297256537719174,0.497777777777778
0.4,130,"with_intercept",-0.461438324085422,1.42618116318396,1.02618116318396,0.497777777777778
0.4,131,"no_intercept",NA,0.862620284017649,0.462620284017649,0.537777777777778
0.4,131,"with_intercept",0.369801926801553,0.316754711166147,0.0832452888338531,0.537777777777778
0.4,132,"no_intercept",NA,0.475436842088515,0.0754368420885153,0.482222222222222
0.4,132,"with_intercept",-0.55226985503691,1.40442414809423,1.00442414809423,0.482222222222222
0.4,133,"no_intercept",NA,0.661128750317618,0.261128750317618,0.518888888888889
0.4,133,"with_intercept",0.709142348108692,-0.452144935405915,0.852144935405915,0.518888888888889
0.4,134,"no_intercept",NA,0.181642931552744,0.218357068447256,0.517777777777778
0.4,134,"with_intercept",0.0509029829360759,0.104136573724701,0.295863426275299,0.517777777777778
0.4,135,"no_intercept",NA,0.4918675524849,0.0918675524849003,0.507777777777778
0.4,135,"with_intercept",0.129679114530919,0.287483993706681,0.112516006293319,0.507777777777778
0.4,136,"no_intercept",NA,0.423413767062287,0.0234137670622874,0.552222222222222
0.4,136,"with_intercept",0.0192059485574586,0.394165073337171,0.0058349266628292,0.552222222222222
0.4,137,"no_intercept",NA,0.523813103588979,0.123813103588979,0.496666666666667
0.4,137,"with_intercept",-0.445179025854722,1.26573676697761,0.865736766977608,0.496666666666667
0.4,138,"no_intercept",NA,0.230554420870471,0.169445579129529,0.513333333333333
0.4,138,"with_intercept",-0.294684549336468,0.701958919301858,0.301958919301858,0.513333333333333
0.4,139,"no_intercept",NA,0.141303062137141,0.25869693786286,0.501111111111111
0.4,139,"with_intercept",-0.390512260779649,0.748507591613853,0.348507591613853,0.501111111111111
0.4,140,"no_intercept",NA,0.508385978834604,0.108385978834604,0.498888888888889
0.4,140,"with_intercept",-0.557865765779472,1.38091096614186,0.980910966141855,0.498888888888889
0.4,141,"no_intercept",NA,0.0272357130647937,0.372764286935206,0.475555555555556
0.4,141,"with_intercept",0.490475875883423,-0.726519419207464,1.12651941920746,0.475555555555556
0.4,142,"no_intercept",NA,0.722892236534605,0.322892236534605,0.501111111111111
0.4,142,"with_intercept",0.00511891869747704,0.714906662843858,0.314906662843858,0.501111111111111
0.4,143,"no_intercept",NA,-0.116813101755173,0.516813101755173,0.494444444444444
0.4,143,"with_intercept",-0.38655782772589,0.504712757642665,0.104712757642665,0.494444444444444
0.4,144,"no_intercept",NA,-0.175932617091992,0.575932617091992,0.481111111111111
0.4,144,"with_intercept",0.0252332731895607,-0.216127893927575,0.616127893927575,0.481111111111111
0.4,145,"no_intercept",NA,0.482746470152247,0.0827464701522468,0.531111111111111
0.4,145,"with_intercept",-0.274297102079524,0.902972647820054,0.502972647820054,0.531111111111111
0.4,146,"no_intercept",NA,0.623399638637824,0.223399638637824,0.526666666666667
0.4,146,"with_intercept",-0.305982370151069,1.09331660727736,0.69331660727736,0.526666666666667
