"setting","kind","rep","missing"
"30 Missing Spots","ignorable",78,30
"30 Missing Spots","ignorable",79,30
"30 Missing Spots","ignorable",80,30
"30 Missing Spots","ignorable",81,30
"30 Missing Spots","ignorable",82,30
"30 Missing Spots","ignorable",83,30
"30 Missing Spots","ignorable",84,30
"30 Missing Spots","ignorable",85,30
"30 Missing Spots","ignorable",86,30
"30 Missing Spots","ignorable",87,30
"30 Missing Spots","ignorable",88,30
"30 Missing Spots","ignorable",89,30
"30 Missing Spots","ignorable",90,30
"30 Missing Spots","ignorable",91,30
"30 Missing Spots","ignorable",92,30
"30 Missing Spots","ignorable",93,30
"30 Missing Spots","ignorable",94,30
"30 Missing Spots","ignorable",95,30
"30 Missing Spots","ignorable",96,30
"30 Missing Spots","ignorable",97,30
"30 Missing Spots","ignorable",98,30
"30 Missing Spots","ignorable",99,30
"30 Missing Spots","ignorable",100,30
"30 Missing Spots","ignorable",101,30
"30 Missing Spots","ignorable",102,30
"30 Missing Spots","ignorable",103,30
"30 Missing Spots","ignorable",104,30
"30 Missing Spots","ignorable",105,30
"30 Missing Spots","ignorable",106,30
"30 Missing Spots","ignorable",107,30
"30 Missing Spots","ignorable",108,30
"30 Missing Spots","ignorable",109,30
"30 Missing Spots","ignorable",110,30
"30 Missing Spots","ignorable",111,30
"30 Missing Spots","ignorable",112,30
"30 Missing Spots","ignorable",113,30
"30 Missing Spots","ignorable",114,30
"30 Missing Spots","ignorable",115,30
"30 Missing Spots","ignorable",116,30
"30 Missing Spots","ignorable",117,30
"30 Missing Spots","ignorable",118,30
"30 Missing Spots","ignorable",119,30
"30 Missing Spots","ignorable",120,30
"30 Missing Spots","ignorable",121,30
"30 Missing Spots","ignorable",122,30
"30 Missing Spots","ignorable",123,30
"30 Missing Spots","ignorable",124,30
"30 Missing Spots","ignorable",125,30
"30 Missing Spots","ignorable",126,30
"30 Missing Spots","ignorable",127,30
"30 Missing Spots","ignorable",128,30
"30 Missing Spots","ignorable",129,30
"30 Missing Spots","ignorable",130,30
"30 Missing Spots","ignorable",131,30
"30 Missing Spots","ignorable",132,30
"30 Missing Spots","ignorable",133,30
"30 Missing Spots","ignorable",134,30
"30 Missing Spots","ignorable",135,30
"30 Missing Spots","ignorable",136,30
"30 Missing Spots","ignorable",137,30
"30 Missing Spots","ignorable",138,30
"30 Missing Spots","ignorable",139,30
"30 Missing Spots","ignorable",140,30
"30 Missing Spots","ignorable",141,30
"30 Missing Spots","ignorable",142,30
"30 Missing Spots","ignorable",143,30
"30 Missing Spots","ignorable",144,30
"30 Missing Spots","ignorable",145,30
"30 Missing Spots","ignorable",146,30
"30 Missing Spots","ignorable",147,30
"30 Missing Spots","ignorable",148,30
"30 Missing Spots","ignorable",149,30
"30 Missing Spots","ignorable",150,30
"30 Missing Spots","ignorable",151,30
"30 Missing Spots","ignorable",152,30
"30 Missing Spots","ignorable",153,30
"30 Missing Spots","ignorable",154,30
"30 Missing Spots","ignorable",155,30
"30 Missing Spots","ignorable",156,30
"30 Missing Spots","ignorable",157,30
"30 Missing Spots","ignorable",158,30
"30 Missing Spots","ignorable",159,30
"30 Missing Spots","ignorable",160,30
"30 Missing Spots","ignorable",161,30
"30 Missing Spots","ignorable",162,30
"30 Missing Spots","ignorable",163,30
"30 Missing Spots","ignorable",164,30
"30 Missing Spots","ignorable",165,30
"30 Missing Spots","ignorable",166,30
"30 Missing Spots","ignorable",167,30
"30 Missing Spots","ignorable",168,30
"30 Missing Spots","ignorable",169,30
"30 Missing Spots","ignorable",170,30
"30 Missing Spots","ignorable",171,30
"30 Missing Spots","ignorable",172,30
"30 Missing Spots","ignorable",173,30
