"setting","kind","rep","method","seconds"
"30 Missing Spots","ignorable",36,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",37,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",38,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",39,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",40,"Missing first-pass (ADVI)",0.234999999999999
"30 Missing Spots","ignorable",41,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",42,"Missing first-pass (ADVI)",0.237000000000009
"30 Missing Spots","ignorable",43,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",44,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",45,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",46,"Missing first-pass (ADVI)",0.238000000000014
"30 Missing Spots","ignorable",47,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",48,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",49,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",50,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",51,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",52,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",53,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",54,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",55,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",56,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",57,"Missing first-pass (ADVI)",0.237000000000023
"30 Missing Spots","ignorable",58,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",59,"Missing first-pass (ADVI)",0.237000000000023
"30 Missing Spots","ignorable",60,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",61,"Missing first-pass (ADVI)",0.172000000000025
"30 Missing Spots","ignorable",62,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",63,"Missing first-pass (ADVI)",0.240000000000009
"30 Missing Spots","ignorable",64,"Missing first-pass (ADVI)",0.239999999999981
"30 Missing Spots","ignorable",65,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",66,"Missing first-pass (ADVI)",0.240000000000009
"30 Missing Spots","ignorable",67,"Missing first-pass (ADVI)",0.238999999999976
"30 Missing Spots","ignorable",68,"Missing first-pass (ADVI)",0.239999999999981
"30 Missing Spots","ignorable",69,"Missing first-pass (ADVI)",0.240999999999985
"30 Missing Spots","ignorable",70,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",71,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",72,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",73,"Missing first-pass (ADVI)",0.242999999999995
"30 Missing Spots","ignorable",74,"Missing first-pass (ADVI)",0.259999999999991
"30 Missing Spots","ignorable",75,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",76,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",77,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",78,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",79,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",80,"Missing first-pass (ADVI)",0.245000000000005
"30 Missing Spots","ignorable",81,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",82,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",83,"Missing first-pass (ADVI)",0.240999999999985
"30 Missing Spots","ignorable",84,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",85,"Missing first-pass (ADVI)",0.242000000000019
"30 Missing Spots","ignorable",86,"Missing first-pass (ADVI)",0.240999999999985
