"method","setting","kind","rep","missing","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta13",0,0.119905935368,0.168224401347484,-0.189953025,0.459803925,0.119905935368,0.119905935368,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta14",0,0.26011386326,0.165591360303584,-0.05854835,0.582070175,0.26011386326,0.26011386326,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta15",0,0.023985037508,0.152677669954349,-0.277193475,0.312439675,0.023985037508,0.023985037508,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta16",0,0.128212753392,0.145700955660746,-0.146436925,0.408374425,0.128212753392,0.128212753392,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta17",0,-0.32932524812,0.181479645680237,-0.672115425,0.031891285,-0.32932524812,0.32932524812,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta18",0,-0.091174391725,0.167284355929727,-0.409850675,0.2363536,-0.091174391725,0.091174391725,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta19",0,0.0983845355674,0.16626013708082,-0.249176825,0.4048543,0.0983845355674,0.0983845355674,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"beta20",0,0.16713280066,0.158669460422599,-0.13518425,0.47492095,0.16713280066,0.16713280066,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",6,10,"eta",1.6,1.663154042,0.337543232397813,1.090747,2.3866925,0.0631540419999999,0.0631540419999999,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta1",1,1.169098756,0.185061008274547,0.82826265,1.558473,0.169098756,0.169098756,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta2",2,2.3223219,0.25162160087842,1.8224625,2.8271375,0.3223219,0.3223219,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta3",3,2.91679314,0.298981791293493,2.33475675,3.51324075,-0.0832068600000002,0.0832068600000002,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta4",-4,-3.94675026,0.368435313227662,-4.664171,-3.2040905,0.05324974,0.05324974,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta5",-5,-5.29552038,0.471952820088667,-6.20172075,-4.367846,-0.29552038,0.29552038,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta6",0,0.019025268641,0.164386644857454,-0.31431015,0.32898515,0.019025268641,0.019025268641,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta7",0,-0.00782494831,0.19048260213527,-0.377848875,0.35849075,-0.00782494831,0.00782494831,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta8",0,-0.0384206757572,0.17160332448192,-0.374099975,0.314026875,-0.0384206757572,0.0384206757572,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta9",0,-0.39487301131,0.179702832138772,-0.743580975,-0.0335635475,-0.39487301131,0.39487301131,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta10",0,0.177848759776,0.151082642935499,-0.124041725,0.49535905,0.177848759776,0.177848759776,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta11",0,0.30902558067,0.17632137727186,-0.033943665,0.654879725,0.30902558067,0.30902558067,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta12",0,-0.124581775838,0.179312945302371,-0.4838187,0.232836775,-0.124581775838,0.124581775838,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta13",0,-0.1301233245361,0.172798865043312,-0.44683525,0.20216045,-0.1301233245361,0.1301233245361,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta14",0,-0.1167175446199,0.162378123940401,-0.4367408,0.194187075,-0.1167175446199,0.1167175446199,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta15",0,-0.217516610616,0.166679900486554,-0.553725225,0.0979529825,-0.217516610616,0.217516610616,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta16",0,-0.131857875103,0.14792448696933,-0.4047357,0.162117075,-0.131857875103,0.131857875103,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta17",0,0.05704962964,0.165496668955609,-0.259452775,0.384454225,0.05704962964,0.05704962964,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta18",0,-0.088740290578,0.179403792317715,-0.436687225,0.270484525,-0.088740290578,0.088740290578,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta19",0,0.29165070905,0.160575247789415,-0.029347965,0.598767875,0.29165070905,0.29165070905,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"beta20",0,0.4541843861,0.169709584921293,0.128605575,0.774648925,0.4541843861,0.4541843861,FALSE
