"eta_true","sweeps","update","gen_scale","fit_scale","rep","eta_hat","eta_abs_bias","disease_rate"
0.4,100,"parallel","sum","sum",30,0.348744873446119,0.0512551265538809,0.515555555555556
0.4,100,"parallel","sum","sum",31,0.420637473671293,0.0206374736712933,0.551111111111111
0.4,100,"parallel","sum","sum",32,0.50069815199976,0.10069815199976,0.554444444444444
0.4,100,"parallel","sum","sum",33,0.502003957849961,0.102003957849961,0.554444444444444
0.4,100,"parallel","sum","sum",34,0.40520425061735,0.0052042506173503,0.561111111111111
0.4,100,"parallel","sum","sum",35,0.446716066296363,0.0467160662963625,0.544444444444444
0.4,100,"parallel","sum","sum",36,0.447161463883441,0.0471614638834412,0.561111111111111
0.4,100,"parallel","sum","sum",37,0.718118455128077,0.318118455128077,0.548888888888889
0.4,100,"parallel","sum","sum",38,0.49833368477652,0.09833368477652,0.577777777777778
0.4,100,"parallel","sum","sum",39,0.43726285058494,0.0372628505849401,0.521111111111111
0.4,100,"parallel","sum","sum",40,0.458860412191472,0.0588604121914716,0.586666666666667
0.4,100,"parallel","sum","sum",41,0.35613680623743,0.0438631937625701,0.521111111111111
0.4,100,"parallel","sum","sum",42,0.293685746200682,0.106314253799318,0.536666666666667
0.4,100,"parallel","sum","sum",43,0.352719196978394,0.0472808030216064,0.564444444444444
0.4,100,"parallel","sum","sum",44,0.37773719295711,0.0222628070428904,0.56
0.4,100,"parallel","sum","sum",45,0.579674580337347,0.179674580337347,0.535555555555556
0.4,100,"parallel","sum","sum",46,0.437928721010349,0.0379287210103488,0.521111111111111
0.4,100,"parallel","sum","sum",47,0.462001278910725,0.0620012789107246,0.528888888888889
0.4,100,"parallel","sum","sum",48,0.363026643140408,0.0369733568595916,0.566666666666667
0.4,100,"parallel","sum","sum",49,0.400363864909071,0.000363864909071365,0.576666666666667
0.4,100,"parallel","sum","sum",50,0.318942087212165,0.0810579127878348,0.503333333333333
0.4,100,"checkerboard","avg","avg",1,0.680590147002827,0.280590147002827,0.516666666666667
0.4,100,"checkerboard","avg","avg",2,0.698024214429246,0.298024214429246,0.51
0.4,100,"checkerboard","avg","avg",3,0.627584217833239,0.227584217833239,0.492222222222222
0.4,100,"checkerboard","avg","avg",4,0.583829944079271,0.183829944079271,0.506666666666667
0.4,100,"checkerboard","avg","avg",5,0.267517299443622,0.132482700556378,0.511111111111111
0.4,100,"checkerboard","avg","avg",6,-0.187116825606665,0.587116825606665,0.503333333333333
0.4,100,"checkerboard","avg","avg",7,0.0758204566364488,0.324179543363551,0.494444444444444
0.4,100,"checkerboard","avg","avg",8,0.231880132415154,0.168119867584846,0.513333333333333
0.4,100,"checkerboard","avg","avg",9,0.598206269052647,0.198206269052647,0.523333333333333
0.4,100,"checkerboard","avg","avg",10,0.34481230671372,0.0551876932862795,0.533333333333333
0.4,100,"checkerboard","avg","avg",11,0.198600533232774,0.201399466767226,0.496666666666667
0.4,100,"checkerboard","avg","avg",12,0.570905211519594,0.170905211519594,0.513333333333333
